symbol,listing_date,first_trade_date,delta_days,status
NMFBS,2016-12-05,2017-02-08,65,OK
NMFBSP,2016-12-05,2021-02-14,1532,SUSPICIOUS_LARGE_GAP
NMIC,2025-04-03,2025-04-08,5,OK
NMLBBL,2010-08-02,2024-05-19,5039,SUSPICIOUS_LARGE_GAP
NMLBBLP,2015-04-20,2024-12-23,3535,SUSPICIOUS_LARGE_GAP
NNFC,2007-07-29,2011-03-20,1330,SUSPICIOUS_LARGE_GAP
NNFCPO,2010-07-26,2011-03-30,247,SUSPICIOUS_LARGE_GAP
NRIC,2020-06-10,2020-06-29,19,OK
NRICP,2020-06-10,2023-12-07,1275,SUSPICIOUS_LARGE_GAP
NRM,2023-08-03,2023-08-06,3,OK
NRN,2020-08-25,2020-08-26,1,OK
NSIF2,2022-11-09,2023-04-03,145,SUSPICIOUS_LARGE_GAP
NSLB,2014-01-16,2020-11-02,2482,SUSPICIOUS_LARGE_GAP
NSLBP,2015-02-27,2022-04-05,2594,SUSPICIOUS_LARGE_GAP
NSLMB,2007-07-30,,,NO_PRICE_HISTORY
NSM,1993-10-28,,,NO_PRICE_HISTORY
NSMPO,2008-11-09,,,NO_PRICE_HISTORY
NTC,2008-08-24,2011-03-20,938,SUSPICIOUS_LARGE_GAP
NTL,1992-12-18,,,NO_PRICE_HISTORY
NUBL,2003-04-24,2011-04-06,2904,SUSPICIOUS_LARGE_GAP
NUBLPO,2015-04-20,2021-07-01,2264,SUSPICIOUS_LARGE_GAP
NVG,1988-05-06,,,NO_PRICE_HISTORY
NWC,1994-12-12,,,NO_PRICE_HISTORY
NWCL,2023-12-20,2023-12-21,1,OK
NYADI,2021-11-24,2021-11-29,5,OK
ODBL,2016-06-08,2016-06-08,0,OK
ODBLPO,2013-10-03,2017-09-11,1439,SUSPICIOUS_LARGE_GAP
OFL,2007-07-30,2011-04-04,1344,SUSPICIOUS_LARGE_GAP
OFLPO,2011-11-02,2011-11-02,0,OK
OHL,2001-08-21,2011-03-28,3506,SUSPICIOUS_LARGE_GAP
OMPL,2025-04-30,2025-05-04,4,OK
PADBL,2012-10-07,2012-10-17,10,OK
PADBLP,2015-06-15,2015-07-28,43,OK
PALPA,2026-04-09,,,NO_PRICE_HISTORY
PBD88,2022-08-10,2022-08-18,8,OK
PBLD84,2020-09-22,2020-11-10,49,OK
PBLD87,2021-08-17,2022-11-30,470,SUSPICIOUS_LARGE_GAP
PBSL,2010-04-13,2011-03-20,341,SUSPICIOUS_LARGE_GAP
PCBL,2011-03-20,2011-03-20,0,OK
PCBLP,2013-06-13,2013-06-13,0,OK
PCIL,2026-04-09,,,NO_PRICE_HISTORY
PDB,2010-01-22,2011-03-20,422,SUSPICIOUS_LARGE_GAP
PDBL,2004-12-28,2011-03-25,2278,SUSPICIOUS_LARGE_GAP
PDBLPO,2009-05-31,2011-06-21,751,SUSPICIOUS_LARGE_GAP
PFC,2004-12-28,2011-04-27,2311,SUSPICIOUS_LARGE_GAP
PFCL,1995-08-07,2011-03-25,5709,SUSPICIOUS_LARGE_GAP
PFCLL,2007-07-30,2011-04-28,1368,SUSPICIOUS_LARGE_GAP
PFCLPO,2008-08-18,,,NO_PRICE_HISTORY
PFIL,2007-07-30,2011-04-10,1350,SUSPICIOUS_LARGE_GAP
PFILPO,2014-05-27,2014-05-27,0,OK
PFL,1999-09-02,2011-05-25,4283,SUSPICIOUS_LARGE_GAP
PFLBS,2007-07-31,2011-03-20,1328,SUSPICIOUS_LARGE_GAP
PFLBSP,2008-08-21,,,NO_PRICE_HISTORY
PFLPO,2010-06-20,2014-02-25,1346,SUSPICIOUS_LARGE_GAP
PGBL,2009-04-02,,,NO_PRICE_HISTORY
PHCL,2022-12-13,2022-12-14,1,OK
PIC,2007-07-29,2011-04-10,1351,SUSPICIOUS_LARGE_GAP
PICL,2004-11-10,2012-02-07,2645,SUSPICIOUS_LARGE_GAP
PICLPO,2015-04-19,2016-04-05,352,SUSPICIOUS_LARGE_GAP
PLIC,2010-06-30,2011-03-20,263,SUSPICIOUS_LARGE_GAP
PMHPL,2018-10-10,2018-10-11,1,OK
PMLI,2021-01-01,2023-12-19,1082,SUSPICIOUS_LARGE_GAP
PMLIP,2021-01-01,2024-02-04,1129,SUSPICIOUS_LARGE_GAP
PPCL,2019-05-03,2019-05-05,2,OK
PPL,2022-10-13,2022-10-16,3,OK
PRBBL,2008-08-24,2013-10-27,1890,SUSPICIOUS_LARGE_GAP
PRBL,2011-04-10,2011-04-21,11,OK
PRDBL,2010-11-24,2013-10-23,1064,SUSPICIOUS_LARGE_GAP
PRDBLP,2015-04-20,2016-03-10,325,SUSPICIOUS_LARGE_GAP
PRFLPO,2012-04-02,2012-04-02,0,OK
PRIN,2007-08-11,2015-06-04,2854,SUSPICIOUS_LARGE_GAP
PRINPO,2014-01-08,2015-08-17,586,SUSPICIOUS_LARGE_GAP
PROFL,2009-03-01,2011-05-11,801,SUSPICIOUS_LARGE_GAP
PROFLP,2009-09-06,2011-09-01,725,SUSPICIOUS_LARGE_GAP
PRSF,2023-06-06,2023-06-08,2,OK
PRVU,2015-01-04,2015-01-04,0,OK
PRVUPO,2015-01-05,2015-01-05,0,OK
PSDBLP,2010-05-26,,,NO_PRICE_HISTORY
PSF,2021-06-21,2021-06-22,1,OK
PURBL,2011-07-01,2011-11-10,132,SUSPICIOUS_LARGE_GAP
PURBLP,2015-12-31,2017-05-09,495,SUSPICIOUS_LARGE_GAP
PURE,2025-05-26,2025-05-27,1,OK
RADHI,2018-03-26,2018-03-27,1,OK
RARA,2011-07-17,2011-08-11,25,OK
RAWA,2023-07-04,2023-07-05,1,OK
RBBBL,2015-07-12,2015-07-15,3,OK
RBBD2088,2025-07-30,2025-08-04,5,OK
RBBD83,2021-09-13,2023-12-20,828,SUSPICIOUS_LARGE_GAP
RBBF40,2025-12-03,2026-01-18,46,OK
RBCL,1984-11-08,2015-06-22,11183,SUSPICIOUS_LARGE_GAP
RBCLPO,2015-01-08,2015-07-02,175,SUSPICIOUS_LARGE_GAP
