symbol,display_name,missing_fields,merged_date,merged_into,merged_into_name,source_title,note
SDESI,Swadeshi Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SDESI),Swadeshi Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
SDFL,Suryadarshan Finance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SDFL),Suryadarshan Finance Company Limited is marked as Merged on ShareSansar company page.
SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SDLBSL),Sadhana Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
SDLBSLP,Sadhana Laghubitta Bittiya Sanstha Limited Promoter Shares,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SDLBSLP),Sadhana Laghubitta Bittiya Sanstha Limited Promoter Shares is marked as Merged on ShareSansar company page.
SETI,Seti Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SETI),Seti Finance Limited is marked as Merged on ShareSansar company page.
SEWA,Sewa Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SEWA),Sewa Bikas Bank Limited is marked as Merged on ShareSansar company page.
SFFIL,Srijana Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SFFIL),Srijana Finance Limited is marked as Merged on ShareSansar company page.
SFL,Siddhartha Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SFL),Siddhartha Finance Limited is marked as Merged on ShareSansar company page.
SGI,Sanima General Insurance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SGI),Sanima General Insurance Limited is marked as Merged on ShareSansar company page.
SHBL,Sahara Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SHBL),Sahara Bikas Bank Limited is marked as Merged on ShareSansar company page.
SHDBL,Shine Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SHDBL),Shine Development Bank Limited is marked as Merged on ShareSansar company page.
SIC,Sagarmatha Insurance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SIC),Sagarmatha Insurance Company Limited is marked as Merged on ShareSansar company page.
SIL,Siddhartha Insurance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SIL),Siddhartha Insurance Limited is marked as Merged on ShareSansar company page.
SKDBL,Saptakoshi Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (SKDBL),Saptakoshi Development Bank Limited is marked as Merged on ShareSansar company page.
