date,rate,metric,source
2020-12-15,8.20,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2021-01-15,8.01,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2021-02-15,8.04,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2021-03-15,7.75,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2021-04-15,7.66,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2021-05-15,7.63,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2021-06-15,7.66,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2021-07-15,7.72,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2021-08-15,7.77,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2021-09-15,7.80,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2021-10-15,7.96,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2021-11-15,8.26,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2021-12-15,8.61,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2022-01-15,8.92,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2022-02-15,9.13,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2022-03-15,9.44,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2022-04-15,9.67,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2022-05-15,9.86,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2022-06-15,9.96,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2022-07-15,10.12,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2022-08-15,10.23,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2022-09-15,10.34,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2022-10-15,10.55,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2022-11-15,10.65,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2022-12-15,10.91,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2023-01-15,11.06,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2023-02-15,11.06,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2023-03-15,10.99,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2023-04-15,10.88,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2023-05-15,10.76,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2023-06-15,10.27,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2023-07-15,10.13,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2023-08-15,9.98,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2023-09-15,10.00,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2023-10-15,10.26,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2023-11-15,10.25,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2023-12-15,9.69,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2024-01-15,9.45,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2024-02-15,9.51,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2024-03-15,9.22,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2024-04-15,8.72,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2024-05-15,8.59,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2024-06-15,8.38,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2024-07-15,8.15,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2024-08-15,7.93,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2024-09-15,7.71,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2024-10-15,7.43,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2024-11-15,7.08,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2024-12-15,6.80,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2025-01-15,6.51,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2025-02-15,6.32,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2025-03-15,6.27,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2025-04-15,6.10,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2025-05-15,5.97,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2025-06-15,5.92,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2025-07-15,5.79,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2025-08-15,5.33,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2025-09-15,5.66,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2025-10-15,5.49,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2025-11-15,5.41,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2025-12-15,5.32,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2026-01-15,5.24,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2026-02-15,5.18,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2026-03-15,5.11,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2026-04-15,5.09,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2026-05-15,5.02,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2026-06-15,4.99,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2026-07-15,4.95,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Asar_2083_Publish.xlsx]"
