open,high,low,close,percent_change,turnover,date
15832.71,15845.16,14987.38,14993.41,-5.07,465030000.0,2021-09-20
14982.21,15432.03,14517.91,15193.05,1.33,416927000.0,2021-09-21
15199.66,15744.8,15199.66,15744.8,3.63,324502000.0,2021-09-22
15747.3,16008.08,15513.64,15693.71,-0.32,290365000.0,2021-09-23
15707.71,15741.6,15219.83,15315.88,-2.37,278811000.0,2021-09-26
15311.16,15375.14,14803.7,14885.03,-2.85,280095000.0,2021-09-27
14847.89,14930.96,14331.01,14453.13,-2.9,269127000.0,2021-09-28
14462.87,14704.36,14263.45,14668.51,1.49,206589000.0,2021-09-29
14686.25,14805.72,14467.09,14567.29,-0.69,160142000.0,2021-09-30
14568.36,14568.36,14241.31,14296.22,-1.87,160247000.0,2021-10-03
14274.4,14401.52,14089.89,14301.83,0.04,160968000.0,2021-10-04
14291.83,14657.91,14256.97,14609.49,2.15,159787000.0,2021-10-05
14612.26,14876.82,14610.28,14866.73,1.76,193772000.0,2021-10-06
14962.18,15171.44,14874.35,14940.59,0.5,173373000.0,2021-10-10
14939.14,14967.87,14711.97,14931.34,-0.27,144548000.0,2021-10-11
14909.79,15043.97,14795.31,15043.97,0.75,63027800.0,2021-10-17
15026.99,15026.99,14605.21,14685.96,-2.38,141928000.0,2021-10-18
14647.89,14647.89,14092.79,14262.83,-2.92,167902000.0,2021-10-19
14257.17,14605.96,14257.17,14452.52,1.33,111616000.0,2021-10-20
14485.74,14524.7,14231.38,14347.28,-0.73,101687000.0,2021-10-21
14353.66,14453.33,14308.7,14414.59,0.47,94770400.0,2021-10-24
14527.64,14951.6,14463.51,14951.6,3.73,152594000.0,2021-10-25
14955.75,15451.59,14955.75,15451.59,3.34,277713000.0,2021-10-26
15451.59,15998.5,15207.7,15769.33,2.06,381103422.3,2021-10-27
15769.33,15818.78,15522.53,15681.65,-0.56,219465795.0,2021-10-28
15680.32,15912.95,15570.05,15912.44,1.47,300032591.5,2021-10-31
15906.4,16055.13,15667.29,15796.69,-0.73,244368072.6,2021-11-01
15764.41,15991.41,15509.95,15957.49,1.02,261700575.6,2021-11-02
15963.53,16104.56,15828.56,15907.53,-0.29,214128704.3,2021-11-03
15910.46,16040.71,15742.96,15810.41,-0.63,183646625.1,2021-11-08
15810.41,15831.28,15307.42,15430.58,-2.4,235519306.8,2021-11-09
15430.49,15430.49,15021.29,15114.18,-2.05,187041605.7,2021-11-11
15114.19,15127.77,14878.92,15046.02,-0.45,183699278.0,2021-11-14
14929.47,15238.49,14929.47,15159.26,0.75,205323258.0,2021-11-15
15108.02,15432.59,14984.29,15429.87,1.77,351127565.3,2021-11-16
15489.11,15679.43,15337.59,15345.15,-0.55,566290471.4,2021-11-17
15401.25,15409.19,15089.48,15117.08,-1.49,237250608.7,2021-11-18
15140.79,15140.79,14923.19,14976.58,-0.93,202655668.4,2021-11-21
14976.58,15057.75,14917.65,14969.51,-0.05,182158044.8,2021-11-22
14969.51,14969.51,14632.82,14779.98,-1.27,179410259.0,2021-11-23
14736.16,14791.92,14513.47,14720.21,-0.39,162021485.3,2021-11-24
14698.63,14756.1,14553.57,14696.95,-0.16,211274971.6,2021-11-25
14696.95,14711.17,14062.8,14158.91,-3.66,313864143.6,2021-11-28
14158.91,14309.12,13948.63,14041.87,-0.83,163818449.3,2021-11-29
14041.87,14193.22,13873.91,13972.22,-0.5,145527397.1,2021-11-30
13972.22,14087.05,13930.5,13967.69,-0.03,115420630.0,2021-12-01
13970.74,13976.63,13688.66,13736.86,-1.65,146269220.6,2021-12-02
13736.86,13736.86,13323.1,13364.76,-2.71,163720095.3,2021-12-05
13364.76,13572.74,12964.29,13487.97,0.92,179149204.0,2021-12-06
13487.06,13885.2,13323.03,13417.07,-0.55,135558383.9,2021-12-07
13416.97,13416.97,13076.29,13122.63,-2.19,101893121.4,2021-12-08
